id,name,skill,availableSlots,acceptableCourts
T021,FC Aurora,8.1,S1;S2;S5,C1;C2
T022,FC Blaze,7.4,S2;S3;S5,C1;C3
T023,FC Comet,6.2,S1;S3;S4,C2
T024,FC Dynamo,5.8,S2;S4;S6,C2;C3
T025,FC Eclipse,4.6,S1;S5;S6,C3
T026,FC Falcon,7.0,S2;S3;S6,C1;C3
T027,FC Galaxy,3.8,S1;S4;S5,C2;C3
T028,FC Horizon,8.7,S3;S4;S6,C1
T029,FC Inferno,5.1,S1;S2;S5,C2;C3
T030,FC Jade,6.8,S2;S3;S4,C1;C2
T031,FC Kraken,2.9,S1;S5;S6,C1;C2
T032,FC Lynx,4.4,S3;S4;S5,C3
T033,FC Meteor,9.2,S2;S4;S6,C1;C2
T034,FC Nova,5.5,S1;S2;S6,C2
T035,FC Orbit,3.5,S4;S5;S6,C3
T036,FC Pulse,6.0,S1;S4;S6,C1
T037,FC Quartz,7.8,S2;S3;S5,C2;C3
T038,FC Rift,4.9,S1;S2;S4,C1
T039,FC Solar,2.4,S3;S5;S6,C2
T040,FC Titan,8.4,S1;S4;S6,C1;C3
